@TBL B1.4 Principle of immunology|B1.4 Principle of immunology
B1.4.8	Immunizations
B1.4.9	Immunity to microbes
B1.4.10	Immunodeficiency
B1.4.10(1)	Primary immunodeficiency: combined immunodeficiency, T cell, B cell, phagocyte, and complement deficiency
B1.4.10(2)	Secondary Immunodeficiency (e.g., infection, radiation, splenectomy, malnutrition)
B1.4.11	Hypersensitivity disorders (type I - IV)
B1.4.11(1)	anaphylaxis and allergic disorders
B1.4.11(2)	autoimmune disorders
B1.4.11(3)	transplantation and graft rejection including graft VS host reaction
B1.4.12	Tumor immunology
B1.4.13	Laboratory investigation (e.g., ELISA, agglutination, flow cytometry, immunofluorescence, immunoblot, immunochromatography test)
B1.4.14	Principle of immunomodulation and immunotherapy (e.g., biologics, allergen-specific immunotherapy, cancer immunotherapy)
@TBL B1.5 Principle of medical microbiology and parasitology|B1.5 Principle of medical microbiology and parasitology
B1.5.1	Basic concept of human infectious diseases
B1.5.1(1)	Human pathogen classification (bacteria, virus, fungus, parasite, prion)
B1.5.1(2)	Basic human microbiota (microbiome, virome, mycobiome)
B1.5.1(3)	Basic biosafety for general practitioner (Biosafety Level, Personal protective equipment, sterilization, disinfection)
B1.5.1(4)	Microbes in medical biotechnology applications (probiotics, viral vector vaccine, gene therapy, oncolytic virus, phage therapy)
B1.5.1(5)	Vectors control, and prevention (mosquito, flea, tick, mite and fly)
B1.5.1(6)	Emerging infectious diseases (e.g., COVID 19)
B1.5.1(7)	Principle of drug resistance pathogens
B1.5.1(8)	Principle of serologic studies
B1.5.1(9)	Principle of molecular diagnosis
B1.5.2	General Principles of medical bacteriology
B1.5.2(1)	Classification of medically important bacteria
B1.5.2(2)	Structure, genome and plasmid
B1.5.2(3)	Important bacterial physiology (e.g., metabolism, replication, biofilm formation that related to drug resistance, medical devices infections, disinfection)
B1.5.2(4)	Pathogenesis
B1.5.2(5)	Gram staining, acid fast staining and modified acid-fast staining
